iter,phase,running_train_loss,val_stSNR_mean,val_stSNR_per_stack,val_stPSNR_mean,val_stSI_PSNR_mean,is_best,elapsed_sec
23500,n2v,0.175265,13.2552,F0:20.9246;F1:23.4658;F2:11.7240;F3:-3.0937,16.8900,-4.9091,0,31685.5
24000,n2v,0.174812,13.5984,F0:21.5251;F1:23.6524;F2:12.2936;F3:-3.0775,17.2332,-5.0283,1,32360.3
24500,n2v,0.175804,13.5256,F0:21.6181;F1:23.5332;F2:12.1316;F3:-3.1805,17.1603,-4.9262,0,33033.4
25000,n2v,0.175139,13.5880,F0:21.7783;F1:23.3692;F2:12.2416;F3:-3.0370,17.2228,-4.8904,0,33706.1
25500,n2v,0.173799,13.3796,F0:21.6680;F1:23.0239;F2:11.8596;F3:-3.0332,17.0144,-4.9343,0,34380.8
26000,n2v,0.174650,13.4929,F0:21.7268;F1:23.2308;F2:12.1474;F3:-3.1334,17.1277,-5.0771,0,35054.7
26500,n2v,0.175545,13.0214,F0:21.4069;F1:23.3126;F2:10.5404;F3:-3.1743,16.6562,-5.1058,0,35728.7
27000,n2v,0.175910,13.3418,F0:21.6387;F1:23.4240;F2:11.3507;F3:-3.0462,16.9766,-5.0365,0,36402.9
27500,n2v,0.175058,13.2902,F0:21.3500;F1:23.3613;F2:11.5011;F3:-3.0517,16.9250,-5.0464,0,37076.7
28000,n2v,0.175567,13.6283,F0:22.0914;F1:23.6875;F2:11.7879;F3:-3.0536,17.2631,-5.1219,1,37751.7
28500,n2v,0.174732,13.3850,F0:21.7148;F1:23.1717;F2:11.7639;F3:-3.1104,17.0198,-4.9968,0,38426.3
29000,n2v,0.174791,13.4452,F0:21.3328;F1:23.4608;F2:12.1845;F3:-3.1974,17.0799,-4.9685,0,39100.6
29500,n2v,0.175797,13.4889,F0:21.8221;F1:23.4598;F2:11.7399;F3:-3.0663,17.1237,-5.0034,0,39774.7
30000,n2v,0.175130,13.6341,F0:22.4086;F1:23.6157;F2:11.7179;F3:-3.2058,17.2689,-5.0674,1,40448.8
